model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
10090_19_A,10090_19,A,21,Northwestern Great Plains Aspen Forest and Parkland,453,1,19,10090,19,66,28
10090_19_B,10090_19,B,68,Northwestern Great Plains Aspen Forest and Parkland,453,2,1,10090,19,66,1
10090_19_C,10090_19,C,11,Northwestern Great Plains Aspen Forest and Parkland,453,3,34,10090,19,66,51
10090_19_D,10090_19,D,NA,Northwestern Great Plains Aspen Forest and Parkland,NA,NA,NA,NA,NA,NA,NA
10090_19_E,10090_19,E,NA,Northwestern Great Plains Aspen Forest and Parkland,NA,NA,NA,NA,NA,NA,NA
10090_19_Agriculture,10090_19,Agriculture,0,Northwestern Great Plains Aspen Forest and Parkland,453,180,7,10090,19,66,10
10090_19_Developed,10090_19,Developed,0,Northwestern Great Plains Aspen Forest and Parkland,NA,NA,NA,NA,NA,NA,NA
10090_19_Water,10090_19,Water,0,Northwestern Great Plains Aspen Forest and Parkland,NA,NA,NA,NA,NA,NA,NA
10090_19_UN,10090_19,UN,0,Northwestern Great Plains Aspen Forest and Parkland,NA,NA,NA,NA,NA,NA,NA
10090_19_UE,10090_19,UE,0,Northwestern Great Plains Aspen Forest and Parkland,453,7,2,10090,19,66,3
10110_6_10_12_17_18_19_A,10110_6_10_12_17_18_19,A,14,Rocky Mountain Aspen Forest and Woodland,416,1,974,10110,10,3377,28
10110_6_10_12_17_18_19_A,10110_6_10_12_17_18_19,A,14,Rocky Mountain Aspen Forest and Woodland,454,1,1814,10110,19,10103,17
10110_6_10_12_17_18_19_B,10110_6_10_12_17_18_19,B,40,Rocky Mountain Aspen Forest and Woodland,416,2,7,10110,10,3377,0
10110_6_10_12_17_18_19_B,10110_6_10_12_17_18_19,B,40,Rocky Mountain Aspen Forest and Woodland,454,2,10,10110,19,10103,0
10110_6_10_12_17_18_19_C,10110_6_10_12_17_18_19,C,45,Rocky Mountain Aspen Forest and Woodland,416,3,1306,10110,10,3377,38
10110_6_10_12_17_18_19_C,10110_6_10_12_17_18_19,C,45,Rocky Mountain Aspen Forest and Woodland,454,3,4822,10110,19,10103,47
10110_6_10_12_17_18_19_D,10110_6_10_12_17_18_19,D,1,Rocky Mountain Aspen Forest and Woodland,416,4,1090,10110,10,3377,32
10110_6_10_12_17_18_19_D,10110_6_10_12_17_18_19,D,1,Rocky Mountain Aspen Forest and Woodland,454,4,3372,10110,19,10103,33
10110_6_10_12_17_18_19_E,10110_6_10_12_17_18_19,E,NA,Rocky Mountain Aspen Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10110_6_10_12_17_18_19_Agriculture,10110_6_10_12_17_18_19,Agriculture,0,Rocky Mountain Aspen Forest and Woodland,454,180,9,10110,19,10103,0
10110_6_10_12_17_18_19_Developed,10110_6_10_12_17_18_19,Developed,0,Rocky Mountain Aspen Forest and Woodland,454,120,3,10110,19,10103,0
10110_6_10_12_17_18_19_Water,10110_6_10_12_17_18_19,Water,0,Rocky Mountain Aspen Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10110_6_10_12_17_18_19_UN,10110_6_10_12_17_18_19,UN,0,Rocky Mountain Aspen Forest and Woodland,NA,NA,NA,NA,NA,NA,NA
10110_6_10_12_17_18_19_UE,10110_6_10_12_17_18_19,UE,0,Rocky Mountain Aspen Forest and Woodland,454,7,45,10110,19,10103,0
10451_10_19_A,10451_10_19,A,16,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,1,10521,10451,10,125289,8
10451_10_19_A,10451_10_19,A,16,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,1,107747,10451,19,725543,14
10451_10_19_B,10451_10_19,B,14,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,2,18301,10451,10,125289,14
10451_10_19_B,10451_10_19,B,14,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,2,85619,10451,19,725543,11
10451_10_19_C,10451_10_19,C,38,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,3,95026,10451,10,125289,75
10451_10_19_C,10451_10_19,C,38,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,3,495896,10451,19,725543,68
10451_10_19_D,10451_10_19,D,27,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,4,306,10451,10,125289,0
10451_10_19_D,10451_10_19,D,27,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,4,8969,10451,19,725543,1
10451_10_19_E,10451_10_19,E,5,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,5,428,10451,10,125289,0
10451_10_19_E,10451_10_19,E,5,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,5,5371,10451,19,725543,0
10451_10_19_Agriculture,10451_10_19,Agriculture,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,180,31,10451,10,125289,0
10451_10_19_Agriculture,10451_10_19,Agriculture,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,180,2439,10451,19,725543,0
10451_10_19_Developed,10451_10_19,Developed,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,120,323,10451,10,125289,0
10451_10_19_Developed,10451_10_19,Developed,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,120,5077,10451,19,725543,0
10451_10_19_Water,10451_10_19,Water,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,NA,NA,NA,NA,NA,NA,NA
10451_10_19_UN,10451_10_19,UN,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,6,33,10451,10,125289,0
