"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",465,5024279,10560,19,"10560_10_19","Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",181,NA,NA,181,100,NA,NA,"IV-B",56,168,0,0.219607843,0.658823529,0,1117373,42
"2",459,2042011,10460,19,"10460_10_19_20","Northern Rocky Mountain Subalpine Woodland and Parkland","Conifer",401,340,NA,184,46,54,NA,"III-B",255,170,0,1,0.666666667,0,454132,17.1
"3",457,895090,10452,19,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer",202,69,137,37,19,54,27,"III-A",150,36,181,0.588235294,0.141176471,0.709803922,199063,7.5
"4",456,725543,10451,19,"10451_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir","Conifer",148,51,39,19,13,38,49,"I-C",200,209,255,0.784313725,0.819607843,1,161357,6.1
"5",482,569568,11590,19,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian",100,101,NA,50,50,50,NA,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,126669,4.8
"6",418,550592,10452,10,"10452_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch","Conifer",202,69,137,37,19,54,27,"III-A",150,36,181,0.588235294,0.141176471,0.709803922,122449,4.6
"7",425,453845,10560,10,"10560_10_19","Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",181,NA,NA,181,100,NA,NA,"IV-B",56,168,0,0.219607843,0.658823529,0,100933,3.8
"8",464,283863,10550,19,"10550_10_19","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",205,412,NA,137,67,33,NA,"IV-B",211,255,190,0.82745098,1,0.745098039,63130,2.4
"9",31,225848,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,50227,1.9
"10",11,215302,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,47882,1.8
"11",460,216128,10470,19,"10470_10_19","Northern Rocky Mountain Mesic Montane Mixed Conifer Forest","Conifer",186,139,NA,80,43,57,NA,"III-A",95,147,229,0.37254902,0.576470588,0.898039216,48066,1.8
"12",417,125289,10451,10,"10451_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir","Conifer",148,51,39,19,13,38,49,"I-C",200,209,255,0.784313725,0.819607843,1,27864,1
"13",485,118323,11660,19,"11660_9_10_19","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",112,54,106,27,24,50,26,"I-C",214,112,0,0.839215686,0.439215686,0,26314,1
"14",446,98742,11590,10,"11590_10_19","Rocky Mountain Montane Riparian Systems","Riparian",100,101,NA,50,50,50,NA,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,21960,0.8
"15",458,91891,10453,19,"10453_10_19","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir","Conifer",223,106,NA,72,32,68,NA,"III-A",230,5,8,0.901960784,0.019607843,0.031372549,20436,0.8
"16",424,75804,10550,10,"10550_10_19","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",205,412,NA,137,67,33,NA,"IV-B",211,255,190,0.82745098,1,0.745098039,16858,0.6
"17",452,48780,10060,19,"10060","Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353,10848,0.4
"18",449,37879,11660,10,"11660_9_10_19","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",112,54,106,27,24,50,26,"I-C",214,112,0,0.839215686,0.439215686,0,8424,0.3
"19",483,25701,11600,19,"11600_10_19","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",201,133,NA,80,40,60,NA,"III-A",49,165,167,0.192156863,0.647058824,0.654901961,5716,0.2
