"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,1998622,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,444483,16.7
"2",2,1170600,"B","Succession Class B",56,168,0,0.219608,0.658824,0,260335,9.8
"3",3,3189182,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,709257,26.7
"4",4,3908053,"D","Succession Class D",255,248,166,1,0.972549,0.65098,869130,32.7
"5",5,898910,"E","Succession Class E",0,74,77,0,0.290196,0.301961,199913,7.5
"6",6,10782,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,2398,0.1
"7",7,39786,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,8848,0.3
"8",111,215302,"Water","Water",0,0,255,0,0,1,47882,1.8
"9",112,4437,"Snow/Ice","Snow/Ice",159,161,240,0.623529,0.631373,0.941176,987,0
"10",120,52095,"Developed","Developed",132,0,138,0.517647,0,0.541176,11586,0.4
"11",132,428162,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,95221,3.6
"12",180,42122,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,9368,0.4
"13",-1111,356,"Fill-Not Mapped","Fill-Not Mapped",111,111,111,0.435294,0.435294,0.435294,79,0
